76038 silly lifecycle private@0.1.6~preinstall: no script for preinstall, continuing
79134 verbose gentlyRm don't care about contents; nuking /Users/apple/Documents/project/web/node_modules/fsevents/node_modules/tar-pack/node_modules/.bin/rimraf
79135 silly build tough-cookie@2.2.1
79136 info linkStuff tough-cookie@2.2.1
79137 silly linkStuff tough-cookie@2.2.1 has /Users/apple/Documents/project/web/node_modules/fsevents/node_modules as its parent node_modules
79138 verbose linkBins tough-cookie@2.2.1
79139 verbose linkMans tough-cookie@2.2.1
79140 silly build tunnel-agent@0.4.1
79141 info linkStuff tunnel-agent@0.4.1
79142 silly linkStuff tunnel-agent@0.4.1 has /Users/apple/Documents/project/web/node_modules/fsevents/node_modules as its parent node_modules
79143 verbose linkBins tunnel-agent@0.4.1
79144 verbose linkMans tunnel-agent@0.4.1
79145 silly build tweetnacl@0.13.2
79146 info linkStuff tweetnacl@0.13.2
79147 silly linkStuff tweetnacl@0.13.2 has /Users/apple/Documents/project/web/node_modules/fsevents/node_modules as its parent node_modules
79148 verbose linkBins tweetnacl@0.13.2
79149 verbose linkMans tweetnacl@0.13.2
79150 silly build sshpk@1.7.0
79151 info linkStuff sshpk@1.7.0
79152 silly linkStuff sshpk@1.7.0 has /Users/apple/Documents/project/web/node_modules/fsevents/node_modules as its parent node_modules
79153 verbose linkBins sshpk@1.7.0
79154 verbose link bins [ { 'sshpk-conv': 'bin/sshpk-conv' },
79154 verbose link bins   '/Users/apple/Documents/project/web/node_modules/fsevents/node_modules/.bin',
79154 verbose link bins   false ]
79155 verbose linkMans sshpk@1.7.0
79156 silly gentlyRm /Users/apple/Documents/project/web/node_modules/fsevents/node_modules/.bin/sshpk-conv is being purged
79157 verbose gentlyRm don't care about contents; nuking /Users/apple/Documents/project/web/node_modules/fsevents/node_modules/.bin/sshpk-conv
79158 silly build uid-number@0.0.3
79159 info linkStuff uid-number@0.0.3
79160 silly linkStuff uid-number@0.0.3 has /Users/apple/Documents/project/web/node_modules/fsevents/node_modules as its parent node_modules
79161 verbose linkBins uid-number@0.0.3
79162 verbose linkMans uid-number@0.0.3
79163 silly build tar-pack@3.1.0
79164 info linkStuff tar-pack@3.1.0
79165 silly linkStuff tar-pack@3.1.0 has /Users/apple/Documents/project/web/node_modules/fsevents/node_modules as its parent node_modules
79166 verbose linkBins tar-pack@3.1.0
79167 verbose linkMans tar-pack@3.1.0
79168 silly build verror@1.3.6
79169 info linkStuff verror@1.3.6
79170 silly linkStuff verror@1.3.6 has /Users/apple/Documents/project/web/node_modules/fsevents/node_modules as its parent node_modules
79171 verbose linkBins verror@1.3.6
79172 verbose linkMans verror@1.3.6
79173 silly build jsprim@1.2.2
79174 info linkStuff jsprim@1.2.2
79175 silly linkStuff jsprim@1.2.2 has /Users/apple/Documents/project/web/node_modules/fsevents/node_modules as its parent node_modules
79176 verbose linkBins jsprim@1.2.2
79177 verbose linkMans jsprim@1.2.2
79178 silly build http-signature@1.1.0
79179 info linkStuff http-signature@1.1.0
79180 silly linkStuff http-signature@1.1.0 has /Users/apple/Documents/project/web/node_modules/fsevents/node_modules as its parent node_modules
79181 verbose linkBins http-signature@1.1.0
79182 verbose linkMans http-signature@1.1.0
79183 silly build xtend@4.0.1
79184 info linkStuff xtend@4.0.1
79185 silly linkStuff xtend@4.0.1 has /Users/apple/Documents/project/web/node_modules/fsevents/node_modules as its parent node_modules
79186 verbose linkBins xtend@4.0.1
79187 verbose linkMans xtend@4.0.1
79188 silly build is-my-json-valid@2.12.3
79189 info linkStuff is-my-json-valid@2.12.3
79190 silly linkStuff is-my-json-valid@2.12.3 has /Users/apple/Documents/project/web/node_modules/fsevents/node_modules as its parent node_modules
79191 verbose linkBins is-my-json-valid@2.12.3
79192 verbose linkMans is-my-json-valid@2.12.3
79193 silly build har-validator@2.0.3
79194 info linkStuff har-validator@2.0.3
79195 silly linkStuff har-validator@2.0.3 has /Users/apple/Documents/project/web/node_modules/fsevents/node_modules as its parent node_modules
79196 verbose linkBins har-validator@2.0.3
79197 verbose link bins [ { 'har-validator': 'bin/har-validator' },
79197 verbose link bins   '/Users/apple/Documents/project/web/node_modules/fsevents/node_modules/.bin',
79197 verbose link bins   false ]
79198 verbose linkMans har-validator@2.0.3
79199 silly gentlyRm /Users/apple/Documents/project/web/node_modules/fsevents/node_modules/.bin/har-validator is being purged
79200 verbose gentlyRm don't care about contents; nuking /Users/apple/Documents/project/web/node_modules/fsevents/node_modules/.bin/har-validator
79201 silly build request@2.67.0
79202 info linkStuff request@2.67.0
79203 silly linkStuff request@2.67.0 has /Users/apple/Documents/project/web/node_modules/fsevents/node_modules as its parent node_modules
79204 verbose linkBins request@2.67.0
79205 verbose linkMans request@2.67.0
79206 silly build node-pre-gyp@0.6.17
79207 info linkStuff node-pre-gyp@0.6.17
79208 silly linkStuff node-pre-gyp@0.6.17 has /Users/apple/Documents/project/web/node_modules/fsevents/node_modules as its parent node_modules
79209 verbose linkBins node-pre-gyp@0.6.17
79210 verbose link bins [ { 'node-pre-gyp': './bin/node-pre-gyp' },
79210 verbose link bins   '/Users/apple/Documents/project/web/node_modules/fsevents/node_modules/.bin',
79210 verbose link bins   false ]
79211 verbose linkMans node-pre-gyp@0.6.17
79212 silly gentlyRm /Users/apple/Documents/project/web/node_modules/fsevents/node_modules/.bin/node-pre-gyp is being purged
79213 verbose gentlyRm don't care about contents; nuking /Users/apple/Documents/project/web/node_modules/fsevents/node_modules/.bin/node-pre-gyp
79214 silly build generate-function@2.0.0
79215 info linkStuff generate-function@2.0.0
79216 silly linkStuff generate-function@2.0.0 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
79217 verbose linkBins generate-function@2.0.0
79218 verbose linkMans generate-function@2.0.0
79219 silly build get-stdin@4.0.1
79220 info linkStuff get-stdin@4.0.1
79221 silly linkStuff get-stdin@4.0.1 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
79222 verbose linkBins get-stdin@4.0.1
79223 verbose linkMans get-stdin@4.0.1
79224 silly build getobject@0.1.0
79225 info linkStuff getobject@0.1.0
79226 silly linkStuff getobject@0.1.0 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
79227 verbose linkBins getobject@0.1.0
79228 verbose linkMans getobject@0.1.0
79229 silly build minimatch@3.0.0
79230 info linkStuff minimatch@3.0.0
79231 silly linkStuff minimatch@3.0.0 has /Users/apple/Documents/project/web/node_modules/glob-stream/node_modules as its parent node_modules
79232 verbose linkBins minimatch@3.0.0
79233 verbose linkMans minimatch@3.0.0
79234 silly build inherits@1.0.2
79235 info linkStuff inherits@1.0.2
79236 silly linkStuff inherits@1.0.2 has /Users/apple/Documents/project/web/node_modules/glob/node_modules as its parent node_modules
79237 verbose linkBins inherits@1.0.2
79238 verbose linkMans inherits@1.0.2
79239 silly build glob2base@0.0.12
79240 info linkStuff glob2base@0.0.12
79241 silly linkStuff glob2base@0.0.12 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
79242 verbose linkBins glob2base@0.0.12
79243 verbose linkMans glob2base@0.0.12
79244 silly build global@2.0.1
79245 info linkStuff global@2.0.1
79246 silly linkStuff global@2.0.1 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
79247 verbose linkBins global@2.0.1
79248 verbose linkMans global@2.0.1
79249 silly build globals@6.4.1
79250 info linkStuff globals@6.4.1
79251 silly linkStuff globals@6.4.1 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
79252 verbose linkBins globals@6.4.1
79253 verbose linkMans globals@6.4.1
79254 silly build minimatch@3.0.0
79255 info linkStuff minimatch@3.0.0
79256 silly linkStuff minimatch@3.0.0 has /Users/apple/Documents/project/web/node_modules/globby/node_modules as its parent node_modules
79257 verbose linkBins minimatch@3.0.0
79258 verbose linkMans minimatch@3.0.0
79259 silly build object-assign@4.0.1
79260 info linkStuff object-assign@4.0.1
79261 silly linkStuff object-assign@4.0.1 has /Users/apple/Documents/project/web/node_modules/globby/node_modules as its parent node_modules
79262 verbose linkBins object-assign@4.0.1
79263 verbose linkMans object-assign@4.0.1
79264 silly build lodash@1.0.2
79265 info linkStuff lodash@1.0.2
79266 silly linkStuff lodash@1.0.2 has /Users/apple/Documents/project/web/node_modules/globule/node_modules as its parent node_modules
79267 verbose linkBins lodash@1.0.2
79268 verbose linkMans lodash@1.0.2
79269 silly build object-assign@4.0.1
79270 info linkStuff object-assign@4.0.1
79271 silly linkStuff object-assign@4.0.1 has /Users/apple/Documents/project/web/node_modules/got/node_modules as its parent node_modules
79272 verbose linkBins object-assign@4.0.1
79273 verbose linkMans object-assign@4.0.1
79274 silly build graceful-fs@1.2.3
79275 info linkStuff graceful-fs@1.2.3
79276 silly linkStuff graceful-fs@1.2.3 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
79277 verbose linkBins graceful-fs@1.2.3
79278 verbose linkMans graceful-fs@1.2.3
79279 silly build graceful-readlink@1.0.1
79280 info linkStuff graceful-readlink@1.0.1
79281 silly linkStuff graceful-readlink@1.0.1 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
79282 verbose linkBins graceful-readlink@1.0.1
79283 verbose linkMans graceful-readlink@1.0.1
79284 silly build commander@2.9.0
79285 info linkStuff commander@2.9.0
79286 silly linkStuff commander@2.9.0 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
79287 verbose linkBins commander@2.9.0
79288 verbose linkMans commander@2.9.0
79289 silly build commander@2.8.1
79290 info linkStuff commander@2.8.1
79291 silly linkStuff commander@2.8.1 has /Users/apple/Documents/project/web/node_modules/clean-css/node_modules as its parent node_modules
79292 verbose linkBins commander@2.8.1
79293 verbose linkMans commander@2.8.1
79294 silly build clean-css@3.4.8
79295 info linkStuff clean-css@3.4.8
79296 silly linkStuff clean-css@3.4.8 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
79297 verbose linkBins clean-css@3.4.8
79298 verbose link bins [ { cleancss: './bin/cleancss' },
79298 verbose link bins   '/Users/apple/Documents/project/web/node_modules/.bin',
79298 verbose link bins   false ]
79299 verbose linkMans clean-css@3.4.8
79300 silly gentlyRm /Users/apple/Documents/project/web/node_modules/.bin/cleancss is being purged
79301 verbose gentlyRm don't care about contents; nuking /Users/apple/Documents/project/web/node_modules/.bin/cleancss
79302 silly build growl@1.8.1
79303 info linkStuff growl@1.8.1
79304 silly linkStuff growl@1.8.1 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
79305 verbose linkBins growl@1.8.1
79306 verbose linkMans growl@1.8.1
79307 silly build async@0.9.2
79308 info linkStuff async@0.9.2
79309 silly linkStuff async@0.9.2 has /Users/apple/Documents/project/web/node_modules/grunt-concurrent/node_modules as its parent node_modules
79310 verbose linkBins async@0.9.2
79311 verbose linkMans async@0.9.2
79312 silly build ansi-regex@0.2.1
79313 info linkStuff ansi-regex@0.2.1
79314 silly linkStuff ansi-regex@0.2.1 has /Users/apple/Documents/project/web/node_modules/grunt-contrib-concat/node_modules as its parent node_modules
79315 verbose linkBins ansi-regex@0.2.1
79316 verbose linkMans ansi-regex@0.2.1
79317 silly build ansi-styles@1.1.0
79318 info linkStuff ansi-styles@1.1.0
79319 silly linkStuff ansi-styles@1.1.0 has /Users/apple/Documents/project/web/node_modules/grunt-contrib-concat/node_modules as its parent node_modules
79320 verbose linkBins ansi-styles@1.1.0
79321 verbose linkMans ansi-styles@1.1.0
79322 silly build has-ansi@0.1.0
79323 info linkStuff has-ansi@0.1.0
79324 silly linkStuff has-ansi@0.1.0 has /Users/apple/Documents/project/web/node_modules/grunt-contrib-concat/node_modules as its parent node_modules
79325 verbose linkBins has-ansi@0.1.0
79326 verbose link bins [ { 'has-ansi': 'cli.js' },
79326 verbose link bins   '/Users/apple/Documents/project/web/node_modules/grunt-contrib-concat/node_modules/.bin',
79326 verbose link bins   false ]
79327 verbose linkMans has-ansi@0.1.0
79328 silly gentlyRm /Users/apple/Documents/project/web/node_modules/grunt-contrib-concat/node_modules/.bin/has-ansi is being purged
79329 verbose gentlyRm don't care about contents; nuking /Users/apple/Documents/project/web/node_modules/grunt-contrib-concat/node_modules/.bin/has-ansi
79330 silly build source-map@0.3.0
79331 info linkStuff source-map@0.3.0
79332 silly linkStuff source-map@0.3.0 has /Users/apple/Documents/project/web/node_modules/grunt-contrib-concat/node_modules as its parent node_modules
79333 verbose linkBins source-map@0.3.0
79334 verbose linkMans source-map@0.3.0
79335 silly build strip-ansi@0.3.0
79336 info linkStuff strip-ansi@0.3.0
79337 silly linkStuff strip-ansi@0.3.0 has /Users/apple/Documents/project/web/node_modules/grunt-contrib-concat/node_modules as its parent node_modules
79338 verbose linkBins strip-ansi@0.3.0
79339 verbose link bins [ { 'strip-ansi': 'cli.js' },
79339 verbose link bins   '/Users/apple/Documents/project/web/node_modules/grunt-contrib-concat/node_modules/.bin',
79339 verbose link bins   false ]
79340 verbose linkMans strip-ansi@0.3.0
79341 silly gentlyRm /Users/apple/Documents/project/web/node_modules/grunt-contrib-concat/node_modules/.bin/strip-ansi is being purged
79342 verbose gentlyRm don't care about contents; nuking /Users/apple/Documents/project/web/node_modules/grunt-contrib-concat/node_modules/.bin/strip-ansi
79343 silly build supports-color@0.2.0
79344 info linkStuff supports-color@0.2.0
79345 silly linkStuff supports-color@0.2.0 has /Users/apple/Documents/project/web/node_modules/grunt-contrib-concat/node_modules as its parent node_modules
79346 verbose linkBins supports-color@0.2.0
79347 verbose link bins [ { 'supports-color': 'cli.js' },
79347 verbose link bins   '/Users/apple/Documents/project/web/node_modules/grunt-contrib-concat/node_modules/.bin',
79347 verbose link bins   false ]
79348 verbose linkMans supports-color@0.2.0
79349 silly gentlyRm /Users/apple/Documents/project/web/node_modules/grunt-contrib-concat/node_modules/.bin/supports-color is being purged
79350 verbose gentlyRm don't care about contents; nuking /Users/apple/Documents/project/web/node_modules/grunt-contrib-concat/node_modules/.bin/supports-color
79351 silly build chalk@0.5.1
79352 info linkStuff chalk@0.5.1
79353 silly linkStuff chalk@0.5.1 has /Users/apple/Documents/project/web/node_modules/grunt-contrib-concat/node_modules as its parent node_modules
79354 verbose linkBins chalk@0.5.1
79355 verbose linkMans chalk@0.5.1
79356 silly build grunt-contrib-concat@0.5.1
79357 info linkStuff grunt-contrib-concat@0.5.1
79358 silly linkStuff grunt-contrib-concat@0.5.1 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
79359 verbose linkBins grunt-contrib-concat@0.5.1
79360 verbose linkMans grunt-contrib-concat@0.5.1
79361 silly build ansi-regex@0.2.1
79362 info linkStuff ansi-regex@0.2.1
79363 silly linkStuff ansi-regex@0.2.1 has /Users/apple/Documents/project/web/node_modules/grunt-contrib-htmlmin/node_modules as its parent node_modules
79364 verbose linkBins ansi-regex@0.2.1
79365 verbose linkMans ansi-regex@0.2.1
79366 silly build ansi-styles@1.1.0
79367 info linkStuff ansi-styles@1.1.0
79368 silly linkStuff ansi-styles@1.1.0 has /Users/apple/Documents/project/web/node_modules/grunt-contrib-htmlmin/node_modules as its parent node_modules
79369 verbose linkBins ansi-styles@1.1.0
79370 verbose linkMans ansi-styles@1.1.0
79371 silly build has-ansi@0.1.0
79372 info linkStuff has-ansi@0.1.0
79373 silly linkStuff has-ansi@0.1.0 has /Users/apple/Documents/project/web/node_modules/grunt-contrib-htmlmin/node_modules as its parent node_modules
79374 verbose linkBins has-ansi@0.1.0
79375 verbose link bins [ { 'has-ansi': 'cli.js' },
79375 verbose link bins   '/Users/apple/Documents/project/web/node_modules/grunt-contrib-htmlmin/node_modules/.bin',
79375 verbose link bins   false ]
79376 verbose linkMans has-ansi@0.1.0
79377 silly gentlyRm /Users/apple/Documents/project/web/node_modules/grunt-contrib-htmlmin/node_modules/.bin/has-ansi is being purged
79378 verbose gentlyRm don't care about contents; nuking /Users/apple/Documents/project/web/node_modules/grunt-contrib-htmlmin/node_modules/.bin/has-ansi
79379 silly build strip-ansi@0.3.0
79380 info linkStuff strip-ansi@0.3.0
79381 silly linkStuff strip-ansi@0.3.0 has /Users/apple/Documents/project/web/node_modules/grunt-contrib-htmlmin/node_modules as its parent node_modules
79382 verbose linkBins strip-ansi@0.3.0
79383 verbose link bins [ { 'strip-ansi': 'cli.js' },
79383 verbose link bins   '/Users/apple/Documents/project/web/node_modules/grunt-contrib-htmlmin/node_modules/.bin',
79383 verbose link bins   false ]
79384 verbose linkMans strip-ansi@0.3.0
79385 silly gentlyRm /Users/apple/Documents/project/web/node_modules/grunt-contrib-htmlmin/node_modules/.bin/strip-ansi is being purged
79386 verbose gentlyRm don't care about contents; nuking /Users/apple/Documents/project/web/node_modules/grunt-contrib-htmlmin/node_modules/.bin/strip-ansi
79387 silly build supports-color@0.2.0
79388 info linkStuff supports-color@0.2.0
79389 silly linkStuff supports-color@0.2.0 has /Users/apple/Documents/project/web/node_modules/grunt-contrib-htmlmin/node_modules as its parent node_modules
79390 verbose linkBins supports-color@0.2.0
79391 verbose link bins [ { 'supports-color': 'cli.js' },
79391 verbose link bins   '/Users/apple/Documents/project/web/node_modules/grunt-contrib-htmlmin/node_modules/.bin',
79391 verbose link bins   false ]
79392 verbose linkMans supports-color@0.2.0
79393 silly gentlyRm /Users/apple/Documents/project/web/node_modules/grunt-contrib-htmlmin/node_modules/.bin/supports-color is being purged
79394 verbose gentlyRm don't care about contents; nuking /Users/apple/Documents/project/web/node_modules/grunt-contrib-htmlmin/node_modules/.bin/supports-color
79395 silly build chalk@0.5.1
79396 info linkStuff chalk@0.5.1
79397 silly linkStuff chalk@0.5.1 has /Users/apple/Documents/project/web/node_modules/grunt-contrib-htmlmin/node_modules as its parent node_modules
79398 verbose linkBins chalk@0.5.1
79399 verbose linkMans chalk@0.5.1
79400 silly build async@0.9.2
79401 info linkStuff async@0.9.2
79402 silly linkStuff async@0.9.2 has /Users/apple/Documents/project/web/node_modules/grunt-contrib-imagemin/node_modules as its parent node_modules
79403 verbose linkBins async@0.9.2
79404 verbose linkMans async@0.9.2
79405 silly build async@0.2.10
79406 info linkStuff async@0.2.10
79407 silly linkStuff async@0.2.10 has /Users/apple/Documents/project/web/node_modules/grunt-contrib-uglify/node_modules as its parent node_modules
79408 verbose linkBins async@0.2.10
79409 verbose linkMans async@0.2.10
79410 silly build lodash@3.10.1
79411 info linkStuff lodash@3.10.1
79412 silly linkStuff lodash@3.10.1 has /Users/apple/Documents/project/web/node_modules/grunt-contrib-uglify/node_modules as its parent node_modules
79413 verbose linkBins lodash@3.10.1
79414 verbose linkMans lodash@3.10.1
79415 silly build source-map@0.1.34
79416 info linkStuff source-map@0.1.34
79417 silly linkStuff source-map@0.1.34 has /Users/apple/Documents/project/web/node_modules/grunt-contrib-uglify/node_modules as its parent node_modules
79418 verbose linkBins source-map@0.1.34
79419 verbose linkMans source-map@0.1.34
79420 silly build yargs@1.3.3
79421 info linkStuff yargs@1.3.3
79422 silly linkStuff yargs@1.3.3 has /Users/apple/Documents/project/web/node_modules/grunt-contrib-uglify/node_modules as its parent node_modules
79423 verbose linkBins yargs@1.3.3
79424 verbose linkMans yargs@1.3.3
79425 silly build async@0.2.10
79426 info linkStuff async@0.2.10
79427 silly linkStuff async@0.2.10 has /Users/apple/Documents/project/web/node_modules/grunt-contrib-watch/node_modules as its parent node_modules
79428 verbose linkBins async@0.2.10
79429 verbose linkMans async@0.2.10
79430 silly build lodash@2.4.2
79431 info linkStuff lodash@2.4.2
79432 silly linkStuff lodash@2.4.2 has /Users/apple/Documents/project/web/node_modules/grunt-contrib-watch/node_modules as its parent node_modules
79433 verbose linkBins lodash@2.4.2
79434 verbose linkMans lodash@2.4.2
79435 silly build each-async@0.1.3
79436 info linkStuff each-async@0.1.3
79437 silly linkStuff each-async@0.1.3 has /Users/apple/Documents/project/web/node_modules/grunt-filerev/node_modules as its parent node_modules
79438 verbose linkBins each-async@0.1.3
79439 verbose linkMans each-async@0.1.3
79440 silly build lodash@2.4.2
79441 info linkStuff lodash@2.4.2
79442 silly linkStuff lodash@2.4.2 has /Users/apple/Documents/project/web/node_modules/grunt-legacy-log-utils/node_modules as its parent node_modules
79443 verbose linkBins lodash@2.4.2
79444 verbose linkMans lodash@2.4.2
79445 silly build underscore.string@2.3.3
79446 info linkStuff underscore.string@2.3.3
79447 silly linkStuff underscore.string@2.3.3 has /Users/apple/Documents/project/web/node_modules/grunt-legacy-log-utils/node_modules as its parent node_modules
79448 verbose linkBins underscore.string@2.3.3
79449 verbose linkMans underscore.string@2.3.3
79450 silly build grunt-legacy-log-utils@0.1.1
79451 info linkStuff grunt-legacy-log-utils@0.1.1
79452 silly linkStuff grunt-legacy-log-utils@0.1.1 has /Users/apple/Documents/project/web/node_modules as its parent node_modules
79453 verbose linkBins grunt-legacy-log-utils@0.1.1
79454 verbose linkMans grunt-legacy-log-utils@0.1.1
79455 silly build lodash@2.4.2
79456 info linkStuff lodash@2.4.2
79457 silly linkStuff lodash@2.4.2 has /Users/apple/Documents/project/web/node_modules/grunt-legacy-log/node_modules as its parent node_modules
79458 verbose linkBins lodash@2.4.2
79459 verbose linkMans lodash@2.4.2
79460 silly build underscore.string@2.3.3
79461 info linkStuff underscore.string@2.3.3
79462 silly linkStuff underscore.string@2.3.3 has /Users/apple/Documents/project/web/node_modules/grunt-legacy-log/node_modules as its parent node_modules
79463 verbose linkBins underscore.string@2.3.3
79464 verbose linkMans underscore.string@2.3.3
79465 silly build lodash@3.10.1
79466 info linkStuff lodash@3.10.1
79467 silly linkStuff lodash@3.10.1 has /Users/apple/Documents/project/web/node_modules/grunt-mocha/node_modules as its parent node_modules
79468 verbose linkBins lodash@3.10.1
79469 verbose linkMans lodash@3.10.1
79470 silly build async@0.9.2
79471 info linkStuff async@0.9.2
79472 silly linkStuff async@0.9.2 has /Users/apple/Documents/project/web/node_modules/grunt-modernizr/node_modules as its parent node_modules
79473 verbose linkBins async@0.9.2
79474 verbose linkMans async@0.9.2
79475 silly build delayed-stream@0.0.5
79476 info linkStuff delayed-stream@0.0.5
79477 silly linkStuff delayed-stream@0.0.5 has /Users/apple/Documents/project/web/node_modules/grunt-modernizr/node_modules as its parent node_modules
79478 verbose linkBins delayed-stream@0.0.5
79479 verbose linkMans delayed-stream@0.0.5
79480 silly build combined-stream@0.0.7
79481 info linkStuff combined-stream@0.0.7
79482 silly linkStuff combined-stream@0.0.7 has /Users/apple/Documents/project/web/node_modules/grunt-modernizr/node_modules as its parent node_modules
79483 verbose linkBins combined-stream@0.0.7
79484 verbose linkMans combined-stream@0.0.7
79485 silly build forever-agent@0.5.2
79486 info linkStuff forever-agent@0.5.2
79487 silly linkStuff forever-agent@0.5.2 has /Users/apple/Documents/project/web/node_modules/grunt-modernizr/node_modules as its parent node_modules
79488 verbose linkBins forever-agent@0.5.2
79489 verbose linkMans forever-agent@0.5.2
79490 silly build hoek@0.9.1
79491 info linkStuff hoek@0.9.1
79492 silly linkStuff hoek@0.9.1 has /Users/apple/Documents/project/web/node_modules/grunt-modernizr/node_modules as its parent node_modules
79493 verbose linkBins hoek@0.9.1
79494 verbose linkMans hoek@0.9.1
79495 silly build boom@0.4.2
79496 info linkStuff boom@0.4.2
79497 silly linkStuff boom@0.4.2 has /Users/apple/Documents/project/web/node_modules/grunt-modernizr/node_modules as its parent node_modules
79498 verbose linkBins boom@0.4.2
79499 verbose linkMans boom@0.4.2
79500 silly build cryptiles@0.2.2
79501 info linkStuff cryptiles@0.2.2
79502 silly linkStuff cryptiles@0.2.2 has /Users/apple/Documents/project/web/node_modules/grunt-modernizr/node_modules as its parent node_modules
79503 verbose linkBins cryptiles@0.2.2
79504 verbose linkMans cryptiles@0.2.2
79505 silly build http-signature@0.10.1
79506 info linkStuff http-signature@0.10.1
79507 silly linkStuff http-signature@0.10.1 has /Users/apple/Documents/project/web/node_modules/grunt-modernizr/node_modules as its parent node_modules
79508 verbose linkBins http-signature@0.10.1
79509 verbose linkMans http-signature@0.10.1
79510 silly build mime@1.2.11
79511 info linkStuff mime@1.2.11
79512 silly linkStuff mime@1.2.11 has /Users/apple/Documents/project/web/node_modules/grunt-modernizr/node_modules as its parent node_modules
79513 verbose linkBins mime@1.2.11
79514 verbose linkMans mime@1.2.11
79515 silly build form-data@0.1.4
79516 info linkStuff form-data@0.1.4
79517 silly linkStuff form-data@0.1.4 has /Users/apple/Documents/project/web/node_modules/grunt-modernizr/node_modules as its parent node_modules
79518 verbose linkBins form-data@0.1.4
79519 verbose linkMans form-data@0.1.4
79520 silly build oauth-sign@0.3.0
79521 info linkStuff oauth-sign@0.3.0
79522 silly linkStuff oauth-sign@0.3.0 has /Users/apple/Documents/project/web/node_modules/grunt-modernizr/node_modules as its parent node_modules
79523 verbose linkBins oauth-sign@0.3.0
79524 verbose linkMans oauth-sign@0.3.0
79525 silly build qs@0.6.6
79526 info linkStuff qs@0.6.6
79527 silly linkStuff qs@0.6.6 has /Users/apple/Documents/project/web/node_modules/grunt-modernizr/node_modules as its parent node_modules
79528 verbose linkBins qs@0.6.6
79529 verbose linkMans qs@0.6.6
79530 silly build sntp@0.2.4
79531 info linkStuff sntp@0.2.4
79532 silly linkStuff sntp@0.2.4 has /Users/apple/Documents/project/web/node_modules/grunt-modernizr/node_modules as its parent node_modules
79533 verbose linkBins sntp@0.2.4
79534 verbose linkMans sntp@0.2.4
79535 silly build hawk@1.0.0
79536 info linkStuff hawk@1.0.0
79537 silly linkStuff hawk@1.0.0 has /Users/apple/Documents/project/web/node_modules/grunt-modernizr/node_modules as its parent node_modules
79538 verbose linkBins hawk@1.0.0
79539 verbose linkMans hawk@1.0.0
79540 silly build tunnel-agent@0.3.0
79541 info linkStuff tunnel-agent@0.3.0
79542 silly linkStuff tunnel-agent@0.3.0 has /Users/apple/Documents/project/web/node_modules/grunt-modernizr/node_modules as its parent node_modules
79543 verbose linkBins tunnel-agent@0.3.0
79544 verbose linkMans tunnel-agent@0.3.0
79545 silly build uglify-js@1.3.3
79546 info linkStuff uglify-js@1.3.3
79547 silly linkStuff uglify-js@1.3.3 has /Users/apple/Documents/project/web/node_modules/grunt-modernizr/node_modules as its parent node_modules
79548 verbose linkBins uglify-js@1.3.3
79549 verbose link bins [ { uglifyjs: './bin/uglifyjs' },
79549 verbose link bins   '/Users/apple/Documents/project/web/node_modules/grunt-modernizr/node_modules/.bin',
79549 verbose link bins   false ]
79550 verbose linkMans uglify-js@1.3.3
79551 silly gentlyRm /Users/apple/Documents/project/web/node_modules/grunt-modernizr/node_modules/.bin/uglifyjs is being purged
79552 verbose gentlyRm don't care about contents; nuking /Users/apple/Documents/project/web/node_modules/grunt-modernizr/node_modules/.bin/uglifyjs
79553 silly build async@0.9.0
79554 info linkStuff async@0.9.0
79555 silly linkStuff async@0.9.0 has /Users/apple/Documents/project/web/node_modules/grunt-newer/node_modules as its parent node_modules
79556 verbose linkBins async@0.9.0
79557 verbose linkMans async@0.9.0
79558 silly build diff@2.2.1
79559 info linkStuff diff@2.2.1
79560 silly linkStuff diff@2.2.1 has /Users/apple/Documents/project/web/node_modules/grunt-postcss/node_modules as its parent node_modules
79561 verbose linkBins diff@2.2.1
79562 verbose linkMans diff@2.2.1
79563 silly build colors@1.1.2
79564 info linkStuff colors@1.1.2
79565 silly linkStuff colors@1.1.2 has /Users/apple/Documents/project/web/node_modules/grunt-svgmin/node_modules as its parent node_modules
79566 verbose linkBins colors@1.1.2
79567 verbose linkMans colors@1.1.2
79568 silly build esprima@2.2.0
79569 info linkStuff esprima@2.2.0
79570 silly linkStuff esprima@2.2.0 has /Users/apple/Documents/project/web/node_modules/grunt-svgmin/node_modules as its parent node_modules
79571 verbose linkBins esprima@2.2.0
79572 verbose link bins [ { esparse: './bin/esparse.js',
79572 verbose link bins     esvalidate: './bin/esvalidate.js' },
79572 verbose link bins   '/Users/apple/Documents/project/web/node_modules/grunt-svgmin/node_modules/.bin',
79572 verbose link bins   false ]
